app,apktool_d,dex2jar,zip,bcel,dx,apktool_a,jarsigner
com.outback.outback365,1.48,4.83,1.23,5.94,11.09,6.60,4.35
com.pandaexpress.app,1.06,6.60,1.88,5.02,15.65,2.21,1.43
com.papajohns.android,1.29,11.22,4.36,7.95,37.84,3.25,1.93
com.pch.vip,1.10,2.17,0.49,1.23,4.76,1.64,1.10
com.pelkinsoft.magicSantaApp,1.28,4.70,1.54,7.44,11.33,2.47,1.72
com.phdmobi.timescity,2.12,10.32,3.54,9.68,39.63,4.69,2.79
com.philips.lighting.hue,1.46,7.91,8.98,17.70,20.84,3.51,2.23
com.phoneapp.horoscope2014,0.53,5.54,7.21,1.18,15.04,1.76,1.25
com.pixelcrater.Diaro,1.49,8.66,11.83,9.80,25.35,6.17,3.75
com.postmates.android,0.71,5.74,7.17,5.05,15.94,2.05,1.40
com.primedia.apartmentguide,0.99,8.27,11.12,12.50,24.10,3.25,1.95
com.production.truspertips,1.60,7.88,10.75,9.95,21.36,4.58,3.38
com.publix.main,1.66,9.61,7.33,10.02,22.60,9.10,5.52
com.purchasingpower.mobile,0.60,1.74,0.59,1.60,3.98,0.88,0.66
com.quranreading.qibladirection,0.47,3.46,2.30,1.37,10.26,1.22,0.86
com.r04r.tdj392,1.60,5.91,6.03,8.35,27.78,6.79,4.76
com.rantaz.sgquoteslife,0.57,5.66,7.71,4.75,15.89,1.90,1.19
com.redfin.android,1.60,11.50,17.59,7.91,46.08,4.55,2.60
com.redstamp.android,0.71,4.47,3.84,8.24,11.05,2.42,1.75
com.remax.remaxmobile,1.12,11.15,13.48,13.66,41.01,8.74,5.46
com.restaurant.mobile,0.57,7.33,9.17,9.10,14.72,2.00,1.31
com.riteaid.android,1.10,9.60,10.27,5.38,22.76,3.62,2.21
com.rockyou.horoscopes,0.57,7.42,8.97,6.04,19.15,2.31,1.48
com.rvappstudios.magnifyingglass,0.48, 7.45,8.16,11.76,19.60,1.88,1.26
com.safeneighborhood,0.51,4.15,4.12,4.50,12.78,1.38,0.99
com.safeway.client.android.safeway,1.88,10.53,12.44,17.15,34.25,5.30,3.11
com.safeway.client.android.vons,2.63,14.64,4.16,10.70,49.94,4.84,2.95
com.salemwebnetwork.prayer,1.01,7.51,7.19,5.72,20.36,2.56,1.56
com.samsung.cares,0.64,2.83,0.62,1.45,6.94,1.11,0.76
com.scanner.barcodescan,0.67,4.01,0.44,1.04,11.72,1.06,0.69
com.scripps.android.foodnetwork,1.25,8.54,3.37,4.64,23.51,3.22,1.76
com.sec.android.wallet,2.11,15.11,4.34,14.09,44.58,4.80,2.96
com.sei.android,1.99,12.35,4.68,6.17,36.46,4.24,2.54
com.sepiasoftware.secretmenuforstarbucks,0.55,3.52,0.60,0.61,12.31,1.19,0.75
com.sewichi.client.panel,1.40,5.66,1.76,5.47,13.36,1.79,1.61
com.sharper.mydiary,1.44,6.46,1.81,5.18,17.84,2.40,1.36
com.shopalongapp,1.22,10.80,4.18,17.66,26.69,3.12,1.98
com.shronsimo,0.58,0.75,0.09,0.88,3.77,0.74,0.45
com.sidechef.sidechef,1.20,7.96,3.95,4.36,25.95,2.94,1.83
com.simplay.fireplace.hd,0.59,2.67,0.48,0.63,4.28,0.82,0.48
com.SimpleMoonPhaseWidget,0.98,6.67,2.38,1.05,22.96,2.55,1.53
com.skava.hybridapp.bananarepublic,1.02,4.90,1.15,3.82,9.28,1.29,0.84
com.skava.hybridapp.gap,0.60,4.02,0.91,2.28,9.68,1.15,0.70
com.skcc.corfire.dd,1.30,8.54,2.59,7.46,37.49,2.89,1.72
com.skollabs.love,0.71,4.87,3.28,6.65,30.72,1.68,1.11
com.skt.skaf.OA00026910,1.21,10.60,4.91,13.49,26.68,3.46,2.03
com.sleep.fan,0.78,4.61,1.35,0.69,13.03,1.79,1.06
com.sleephypno,0.73,1.98,0.41,1.20,4.31,1.26,0.91
com.sleepwalkers.diary,0.99,3.26,0.69,1.14,26.26,1.80,1.03
